UserID,Data,Azione,Punti,Successo,GiornoChurnSimulato
U0003,2025-01-01,Login,12,True,102
U0003,2025-01-01,Task_Completato,97,True,102
U0004,2025-01-01,Login,10,True,120
U0004,2025-01-01,Task_Fallito,0,False,120
U0007,2025-01-01,Login,11,True,120
U0007,2025-01-01,Task_Fallito,0,False,120
U0009,2025-01-01,Login,13,True,120
U0009,2025-01-01,Task_Completato,86,True,120
U0011,2025-01-01,Login,11,True,120
U0011,2025-01-01,Task_Completato,88,True,120
U0014,2025-01-01,Login,5,True,120
U0014,2025-01-01,Task_Completato,68,True,120
U0016,2025-01-01,Login,5,True,120
U0016,2025-01-01,Task_Fallito,0,False,120
U0018,2025-01-01,Login,11,True,120
U0018,2025-01-01,Task_Fallito,0,False,120
U0019,2025-01-01,Login,8,True,91
U0019,2025-01-01,Task_Fallito,0,False,91
U0020,2025-01-01,Login,8,True,80
U0020,2025-01-01,Task_Completato,68,True,80
U0023,2025-01-01,Login,7,True,120
U0023,2025-01-01,Task_Completato,88,True,120
U0024,2025-01-01,Login,14,True,120
U0024,2025-01-01,Task_Completato,124,True,120
U0026,2025-01-01,Login,13,True,120
U0026,2025-01-01,Task_Fallito,0,False,120
U0027,2025-01-01,Login,9,True,103
U0027,2025-01-01,Task_Fallito,0,False,103
U0029,2025-01-01,Login,5,True,92
U0029,2025-01-01,Task_Fallito,0,False,92
U0030,2025-01-01,Login,11,True,115
U0030,2025-01-01,Task_Completato,139,True,115
U0032,2025-01-01,Login,13,True,120
U0032,2025-01-01,Task_Fallito,0,False,120
U0037,2025-01-01,Login,9,True,120
U0037,2025-01-01,Task_Fallito,0,False,120
U0038,2025-01-01,Login,7,True,120
U0038,2025-01-01,Task_Completato,93,True,120
U0039,2025-01-01,Login,12,True,120
U0039,2025-01-01,Task_Fallito,0,False,120
U0039,2025-01-01,Riscatto_Premio,-188,True,120
U0040,2025-01-01,Login,5,True,108
U0040,2025-01-01,Task_Fallito,0,False,108
U0041,2025-01-01,Login,11,True,120
U0041,2025-01-01,Task_Completato,105,True,120
U0043,2025-01-01,Login,14,True,120
U0043,2025-01-01,Task_Completato,141,True,120
